"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres42-117","21188","21910 21328 21915 21504 21174 21718 21307 21503 21730 21307 21307 21951 14854 20343 21974 21978 20138","2021","2"
"hconres43-117","21307","21708 21710 21328 21307 21929 21149 21724 21372 21749 20944 21123","2021","2"
"hconres44-117","21540","21900 21196 21902 21333 21704 20758 21986 21706 21985 21308 21708 20355 21329 29323 21709 21358 20322 21906 21710 21908 20344 15019 21711 20501 21910 21911 21309 21564 21915 21529 21917 21718 21919 21720 21924 21191 21559 20916 21149 21187 20907 21934 21142 21343 21162 20738 21353 21542 21985 21167 21368 21937 29769 21730 21340 21731 21302 21757 21941 20119 29379 21307 21735 21307 29729 20535 29776 21985 21342 21307 21307 21761 21525 21738 21948 21556 21536 21753 21739 21740 21951 21356 21315 21953 20954 21956 21359 21307 20902 21326 20944 21105 21964 21965 29768 21745 21966 21970 21971 21972 21747 21749 15433 20934 21978 20342 21307 21980 21337 20750 21763 21307 21364 20756 21108 21539","2021","2"
"hconres45-117","21539","21905 20748 21715 21718 21307 21307 29379 29729 21342 21761 21950 29707 14863 21973 21307 20138","2021","2"
"hconres46-117","21545","21307 21110 21352 29339 29588 21706 21198 21707 20340 20757 21749 20955 21172 20733 29717 21915 29109 31101 21917 21715 21566 21919 21321 21502 21922 20305 21931 21339 21726 21985 21371 21728 21730 29908 21530 21732 29778 21307 29379 21986 20122 29729 29776 15433 20537 21525 15616 21950 21955 15438 20954 21741 21307 20329 29346 20329 21762 20321 21102 29768 21746 20762 21972 21307 29901 21975 21978 21314 21366 29378 20504 29106 21538 21307 21118 20723","2021","2"
"hconres47-117","21953","21503 21307","2021","2"
"hconres48-117","21545","21333 29339 21329 15019 29717 29573 15029 21728 21732 29778 21370 20321 21102 21978 20342 21307","2021","2"
"hconres49-117","21980","21551 21702 21106 21911 21307 21985 21307 21307 21307 21307 20909 21359 21544 14863","2021","2"
"hconres5-117","21718","21701 21755 21720 21924 21307 21985 21307 21101 15446","2021","2"
"hconres50-117","21307","29701 21701 21307 21519 29323 21908 21106 21911 21307 21986 21727 21188 21307 21307 21556 21541 21974 21108","2021","2"
"hconres51-117","29378","21715 20305 29377 21949 20542 21746 21307","2021","2"
"hconres52-117","21531","NA","2021","2"
"hconres53-117","14066","21307 20322 20344 21914 21502 21935 21353 21985 29769 21307 21355 21739 21508","2021","2"
"hconres54-117","15433","21110 29339 21707 21172 20748 20706 21910 21504 15029 21730 21507 15616 20920 20329 21306 20927 21978 29106","2021","2"
"hconres55-117","21307","21545 21506 21703 21110 21554 29588 21706 21198 21986 21308 21709 20708 21362 20955 21172 21375 20733 21711 20501 20533 21309 29717 21915 31101 21917 21715 21566 21919 21321 21502 21921 21922 21754 21722 20529 20305 21931 21307 39305 20712 21985 21985 21368 29908 21530 29778 21939 21507 29379 20538 20122 21342 20537 29377 29903 21985 21536 15616 21949 21950 15454 21955 15438 21741 21307 29317 21311 21762 29911 21746 20762 21749 21972 21307 21747 20310 20927 21975 21508 21307 21977 21314 21366 29378 21538 20750 21307 21118","2021","2"
"hconres56-117","21307","21986","2021","2"
"hconres57-117","21702","29701 21551 21701 21132 21708 21513 29550 21307 21564 21174 21307 20527 21103 21559 21307 21985 21307 21727 21731 20755 21986 20926 21307 21188 21307 21307 21526 21557 21355 21753 21148 21744 21745 21974 21337 21330 21981 21351 21563","2021","2"
"hconres58-117","21519","21312","2021","2"
"hconres59-117","29776","21172 21718 29573 21372 20530 15616 31103 21326 21314","2021","2"
"hconres6-117","21307","NA","2021","2"
"hconres60-117","29911","21110 29588 21709 21362 20748 29717 15410 29109 21504 29571 21917 21715 21921 21922 20305 20519 21307 21726 21985 15029 21728 21730 29778 21940 21313 29379 29729 21342 21761 29903 21949 21950 20920 21370 21954 21955 21741 21747 20934 21307 29378 29106","2021","2"
"hconres61-117","21708","21551 21986 21985 21564 21328 20527 21986 21346 21515 21307 21987 21753 21500 21544 21307 21974 20725","2021","2"
"hconres62-117","20756","29729 29317 29910","2021","2"
"hconres63-117","21750","21986 21307","2021","2"
"hconres64-117","29768","NA","2021","2"
